id;company_rating;company_location;total_fleet_count;iata_approved
43190;100%;Marshall Islands;4.0;t
43190;100%;Marshall Islands;4.0;t
24566;75%;Estonia;1.0;t
21653;;Marshall Islands;2.0;f
25525;90%;Faroe Islands;3.0;t
26613;100%;Malawi;1.0;f
40927;100%;Micronesia;3.0;f
35439;94%;United Kingdom;23.0;t
43386;;Wallis and Futuna;1.0;t
40208;100%;Saint Helena;2.0;t
22665;;Rwanda;1.0;f
11334;100%;Sao Tome and Principe;3.0;t
21736;100%;Vanuatu;4.0;f
45751;;Tonga;1.0;t
24176;100%;Kiribati;2.0;f
25001;100%;Saint Helena;1.0;f
45621;100%;Cape Verde;4.0;t
29918;100%;Vietnam;2.0;t
15654;;French Guiana;1.0;t
36544;;Russian Federation;1.0;f
34872;93%;Tonga;3.0;t
15572;;Cape Verde;2.0;t
33823;78%;France;17.0;t
15572;;Cape Verde;2.0;t
43992;100%;Uzbekistan;3.0;t
46847;100%;Niue;1.0;f
24823;100%;Sao Tome and Principe;1.0;t
32575;100%;Kenya;3.0;t
24206;;;2.0;t
47369;100%;Marshall Islands;4.0;t
11172;100%;Guinea;2.0;t
14306;100%;Libyan Arab Jamahiriya;1.0;f
31286;83%;Isle of Man;1.0;f
10433;;Rwanda;1.0;f
7003;0%;United Kingdom;1.0;t
30332;100%;Ecuador;2.0;f
49823;100%;Isle of Man;1.0;t
42414;;Sao Tome and Principe;1.0;f
2042;90%;Gambia;7.0;f
30897;100%;Turkmenistan;4.0;t
22835;;French Guiana;1.0;t
40320;100%;Niue;2.0;f
8930;;Turkmenistan;2.0;t
35550;90%;El Salvador;2.0;f
36894;100%;Niue;1.0;t
34784;60%;Faroe Islands;19.0;t
23679;;Isle of Man;1.0;t
15612;80%;Russian Federation;3.0;t
19742;100%;Isle of Man;1.0;f
16220;100%;;1.0;t
32754;100%;France;1.0;f
37613;;Senegal;1.0;f
30310;100%;;1.0;f
13504;100%;Ukraine;3.0;f
37159;;United Kingdom;1.0;f
19247;100%;Cuba;5.0;f
22321;100%;United Kingdom;16.0;f
22321;100%;United Kingdom;16.0;f
22321;100%;United Kingdom;16.0;f
22321;100%;United Kingdom;16.0;f
15612;80%;Russian Federation;3.0;t
9074;100%;Russian Federation;1.0;t
23509;100%;Jersey;1.0;t
17651;100%;Uzbekistan;1.0;f
19943;63%;Isle of Man;34.0;f
25637;100%;French Guiana;3.0;t
653;;Vanuatu;3.0;f
653;;Vanuatu;3.0;f
35853;100%;Philippines;3.0;t
22006;;Mauritania;1.0;f
20218;100%;Slovakia (Slovak Republic);11.0;t
35439;94%;United Kingdom;23.0;t
13902;98%;United Kingdom;5.0;f
13902;98%;United Kingdom;5.0;f
13902;98%;United Kingdom;5.0;f
39872;;Andorra;2.0;t
39713;100%;Denmark;4.0;f
39713;100%;Denmark;4.0;f
22544;100%;Holy See (Vatican City State);6.0;t
95;100%;Chile;3.0;t
16963;;Vanuatu;3.0;f
49972;100%;Cape Verde;1.0;f
29422;50%;Uzbekistan;1.0;f
40576;100%;France;1.0;t
2814;;French Guiana;1.0;f
39657;100%;;2.0;t
37343;75%;Ecuador;4.0;t
8293;100%;Afghanistan;4.0;t
24584;100%;Spain;4.0;t
10231;100%;Isle of Man;1.0;t
16209;80%;Ecuador;3.0;f
21807;;Maldives;1.0;t
13377;100%;Russian Federation;1.0;t
8293;100%;Afghanistan;4.0;t
15389;100%;Svalbard & Jan Mayen Islands;1.0;t
38709;100%;Senegal;1.0;t
38521;;Cape Verde;1.0;f
17287;100%;Slovakia (Slovak Republic);1.0;f
41165;100%;Lebanon;1.0;f
19247;100%;Cuba;5.0;f
32138;100%;;1.0;f
3293;100%;Somalia;1.0;t
42387;;Gambia;2.0;f
15694;100%;Marshall Islands;2.0;f
27366;100%;Uzbekistan;9.0;t
6358;100%;Croatia;1.0;t
39399;22%;Kenya;2.0;f
15935;100%;Isle of Man;1.0;t
2512;;Cape Verde;6.0;t
6224;100%;Wallis and Futuna;2.0;t
18478;;;1.0;f
31077;;Tonga;1.0;t
19406;100%;Pitcairn Islands;2.0;t
8773;100%;;1.0;t
30304;100%;Somalia;2.0;t
22154;;Lebanon;1.0;f
33511;59%;Tunisia;8.0;t
9414;;Sao Tome and Principe;1.0;f
17771;90%;Russian Federation;1.0;f
28187;100%;Jersey;1.0;f
26330;60%;Costa Rica;3.0;f
4983;;Chad;1.0;t
44324;;Faroe Islands;1.0;t
8293;100%;Afghanistan;4.0;t
5647;;Bosnia and Herzegovina;4.0;t
38355;;Bouvet Island (Bouvetoya);1.0;f
15283;100%;Mauritania;1.0;f
42439;100%;Cape Verde;3.0;t
3396;;Chad;4.0;t
12032;100%;Mauritania;2.0;t
12032;100%;Mauritania;2.0;t
18685;;Chile;1.0;t
22738;40%;Monaco;1.0;t
11538;100%;Papua New Guinea;5.0;t
48157;;;2.0;f
14478;100%;Chad;2.0;t
34534;;Isle of Man;1.0;t
14478;100%;Chad;2.0;t
11012;100%;Puerto Rico;3.0;f
51;;Montserrat;1.0;t
8371;100%;Barbados;1.0;t
16760;;Tonga;1.0;f
12833;100%;Uzbekistan;3.0;t
22412;100%;;1.0;t
6200;100%;;3.0;t
22103;;United Kingdom;1.0;f
33511;59%;Tunisia;8.0;t
17548;60%;;1.0;f
37675;100%;Jersey;1.0;f
5323;;Uganda;1.0;f
24726;100%;;1.0;t
25637;100%;French Guiana;3.0;t
37645;100%;Mauritania;3.0;t
34445;;Rwanda;1.0;t
17694;100%;Isle of Man;4.0;t
30216;98%;Maldives;34.0;f
26330;60%;Costa Rica;3.0;f
5307;100%;Zimbabwe;3.0;t
16539;;United Kingdom;1.0;f
11111;0%;Slovakia (Slovak Republic);1.0;f
24403;;France;2.0;t
31257;;;1.0;f
47463;;Tanzania;2.0;f
13393;;Suriname;1.0;t
28257;0%;Turkmenistan;1.0;f
21630;97%;Reunion;5.0;t
40739;100%;Chad;2.0;f
11686;90%;Kenya;2.0;f
16931;;Chad;2.0;f
15356;80%;Denmark;2.0;f
30216;98%;Maldives;34.0;f
48602;100%;El Salvador;1.0;t
48263;90%;Guernsey;1.0;t
32603;83%;Nicaragua;4.0;t
32603;83%;Nicaragua;4.0;t
13914;100%;Libyan Arab Jamahiriya;2.0;f
22927;90%;;1.0;f
16961;;Micronesia;1.0;f
41601;81%;United Kingdom;5.0;f
37646;100%;Estonia;60.0;f
41503;100%;Kenya;1.0;f
13376;100%;Zimbabwe;3.0;f
15523;100%;;2.0;f
29959;100%;Niger;1.0;f
42585;100%;Micronesia;1.0;t
48019;100%;Netherlands;1.0;t
25167;100%;Indonesia;1.0;t
27118;100%;Sao Tome and Principe;1.0;f
28025;100%;Grenada;1.0;f
42597;;Bouvet Island (Bouvetoya);1.0;t
27992;100%;Denmark;1.0;t
32039;;Guinea;5.0;f
46250;100%;Jersey;1.0;t
8476;;Brazil;1.0;t
48671;100%;Guinea;3.0;t
16847;;Kenya;1.0;f
23565;100%;Slovakia (Slovak Republic);6.0;t
8541;;Uzbekistan;1.0;t
20512;100%;Isle of Man;2.0;t
48349;100%;Isle of Man;2.0;f
32039;;Guinea;5.0;f
25361;100%;Brazil;1.0;f
7051;0%;Malta;1.0;f
34269;78%;Niue;2.0;t
41341;100%;Guinea;3.0;t
4694;100%;Jersey;3.0;t
4694;100%;Jersey;3.0;t
31187;100%;Jersey;1.0;f
31074;100%;Malta;4.0;t
38498;;Turks and Caicos Islands;1.0;f
41668;;Mauritania;1.0;t
36196;90%;Gibraltar;1.0;f
36104;100%;Ukraine;2.0;t
14540;92%;Niue;5.0;f
30352;;Bosnia and Herzegovina;2.0;f
46877;0%;El Salvador;1.0;f
44651;;;1.0;f
39895;100%;;3.0;f
28653;100%;Russian Federation;3.0;t
26330;60%;Costa Rica;3.0;f
27366;100%;Uzbekistan;9.0;t
275;100%;Tunisia;3.0;t
48461;;Canada;1.0;t
26387;100%;Isle of Man;6.0;t
32246;100%;Chad;1.0;f
3018;40%;Holy See (Vatican City State);1.0;t
11092;100%;Monaco;1.0;t
49660;100%;France;3.0;t
16380;100%;Tunisia;1.0;t
7696;97%;Russian Federation;7.0;t
34587;;Isle of Man;22.0;t
42114;100%;Sao Tome and Principe;3.0;t
33195;100%;Isle of Man;1.0;f
30968;;;1.0;f
2069;100%;Gambia;4.0;t
8418;;Denmark;2.0;f
30281;100%;Guinea;1.0;f
46027;100%;Niue;1.0;t
15429;100%;Grenada;3.0;t
18273;100%;Guinea;1.0;t
30736;;Guinea;1.0;f
6037;80%;Guinea;9.0;t
33511;59%;Tunisia;8.0;t
43542;67%;Russian Federation;2.0;f
24563;90%;Pakistan;3.0;f
36686;;Lebanon;1.0;f
25725;;Bosnia and Herzegovina;1.0;t
37645;100%;Mauritania;3.0;t
20681;;Marshall Islands;1.0;t
42860;100%;Guinea;1.0;f
43728;100%;Kenya;1.0;f
13374;67%;;2.0;f
20384;100%;Wallis and Futuna;1.0;t
30788;100%;Niue;1.0;t
47706;100%;Venezuela;1.0;t
31586;;Chile;3.0;f
14340;100%;Isle of Man;5.0;t
39832;100%;Guinea;3.0;f
16957;;Monaco;2.0;f
6704;100%;Gambia;1.0;f
20691;;Niue;1.0;t
23602;;Portugal;1.0;t
5866;100%;Brazil;1.0;t
9012;100%;;2.0;t
32329;;Kenya;1.0;t
20512;100%;Isle of Man;2.0;t
22810;;Niue;1.0;t
43224;;Rwanda;1.0;t
8162;;Tonga;1.0;t
709;;;1.0;f
21363;100%;Guinea;2.0;t
29501;90%;Gibraltar;2.0;t
27471;;Sao Tome and Principe;1.0;f
35317;;Bosnia and Herzegovina;1.0;f
5702;100%;Monaco;2.0;f
16227;;Micronesia;1.0;t
12393;;;1.0;t
20218;100%;Slovakia (Slovak Republic);11.0;t
20745;;Ghana;1.0;t
25973;100%;Gambia;1.0;f
28693;;Lebanon;1.0;t
4657;100%;;1.0;f
47968;100%;Ecuador;1.0;t
39698;60%;Russian Federation;1.0;t
45452;0%;Niue;1.0;t
49294;;;1.0;f
24717;100%;Canada;1.0;t
2069;100%;Gambia;4.0;t
39895;100%;;3.0;f
2042;90%;Gambia;7.0;f
3347;;Kiribati;1.0;t
2603;96%;Uzbekistan;7.0;f
11034;90%;Chile;1.0;f
42183;100%;Puerto Rico;1.0;t
11260;67%;Micronesia;1.0;f
35273;100%;Chad;1.0;t
38826;75%;Senegal;2.0;t
40256;;Uzbekistan;2.0;t
46054;;Sao Tome and Principe;2.0;t
39579;100%;Uzbekistan;2.0;t
7705;0%;Turks and Caicos Islands;1.0;f
1978;100%;Slovenia;1.0;t
36564;100%;Venezuela;5.0;t
46054;;Sao Tome and Principe;2.0;t
17190;100%;Niue;1.0;t
49036;;Kenya;4.0;t
32034;100%;Uzbekistan;1.0;f
15502;100%;Indonesia;1.0;t
14340;100%;Isle of Man;5.0;t
5716;100%;Senegal;2.0;f
20251;100%;Jersey;1.0;t
46082;100%;Isle of Man;1.0;t
2991;;Russian Federation;1.0;t
27476;0%;Guinea;1.0;t
35147;95%;Mauritania;5.0;t
23447;;;1.0;t
10067;;Philippines;1.0;f
4216;;Cuba;9.0;t
41494;;Guinea;1.0;t
45896;100%;;1.0;t
8223;100%;El Salvador;2.0;t
17778;100%;Indonesia;3.0;f
3335;100%;Lebanon;2.0;f
17570;100%;Gambia;1.0;t
45446;;Tonga;1.0;t
17143;;;1.0;f
24515;;Ghana;1.0;t
2766;100%;United Kingdom;4.0;f
2735;100%;Netherlands;6.0;f
28978;;Uzbekistan;2.0;t
43891;;China;2.0;t
16941;100%;Russian Federation;3.0;f
6232;;Guinea;15.0;t
4216;;Cuba;9.0;t
12290;100%;Bouvet Island (Bouvetoya);1.0;f
44557;;;1.0;t
11876;;Malta;1.0;t
2704;;Monaco;1.0;t
22358;;Vanuatu;3.0;f
32082;80%;;1.0;f
24899;100%;Saint Helena;1.0;t
8538;;;2.0;t
11101;100%;Holy See (Vatican City State);1.0;f
42045;10%;Niue;4.0;f
47412;;Tunisia;1.0;t
30404;100%;Niue;3.0;t
33459;;Mauritania;1.0;t
45068;;Guinea;1.0;t
13041;100%;Niue;1.0;f
1003;100%;Tonga;1.0;t
44234;90%;Philippines;1.0;t
15110;100%;Zimbabwe;1.0;t
37957;100%;Chad;2.0;t
41616;100%;Anguilla;3.0;f
16369;;Micronesia;1.0;t
39382;;Nicaragua;1.0;t
30890;90%;Niue;2.0;f
45889;100%;Niue;1.0;t
30388;;Faroe Islands;1.0;f
46091;50%;;2.0;t
12513;;Bosnia and Herzegovina;1.0;t
22868;;Sao Tome and Principe;2.0;t
45963;;Mauritania;3.0;t
11817;;Tonga;3.0;f
35326;;;1.0;f
8171;;Russian Federation;1.0;t
28695;100%;French Guiana;1.0;f
26808;100%;Rwanda;9.0;t
17778;100%;Indonesia;3.0;f
30216;98%;Maldives;34.0;f
48769;100%;Indonesia;4.0;t
37313;90%;Cocos (Keeling) Islands;1.0;t
13444;;;1.0;f
38689;100%;United Kingdom;6.0;t
20881;;Rwanda;1.0;t
22321;100%;United Kingdom;16.0;f
17639;90%;Kenya;3.0;f
4233;;Russian Federation;1.0;t
48790;;;1.0;t
39832;100%;Guinea;3.0;f
13902;98%;United Kingdom;5.0;f
9777;;Isle of Man;1.0;f
27291;;Malawi;2.0;t
27291;;Malawi;2.0;t
42554;100%;Zimbabwe;1.0;t
30096;0%;Kenya;1.0;f
10244;100%;Philippines;10.0;f
6627;100%;Senegal;1.0;f
25811;100%;;1.0;t
15724;;Sao Tome and Principe;1.0;t
9246;70%;;1.0;f
9095;100%;Uganda;2.0;f
21788;100%;Niger;1.0;f
7189;100%;Indonesia;1.0;t
39581;;Marshall Islands;1.0;t
31838;;Lebanon;2.0;t
41880;;China;2.0;f
43321;100%;France;40.0;f
8994;;Zimbabwe;1.0;f
35399;90%;Croatia;1.0;t
38153;;Ecuador;1.0;t
44313;100%;Tunisia;2.0;f
41129;;Bosnia and Herzegovina;1.0;f
22031;0%;Marshall Islands;1.0;f
6968;;Bouvet Island (Bouvetoya);2.0;f
14340;100%;Isle of Man;5.0;t
41226;;Kiribati;1.0;f
49660;100%;France;3.0;t
41528;100%;Indonesia;1.0;t
37399;;Niue;1.0;t
27953;100%;Cocos (Keeling) Islands;3.0;t
49637;;Russian Federation;1.0;t
33048;;Montserrat;3.0;f
36707;;Cocos (Keeling) Islands;1.0;t
46852;100%;;1.0;t
46689;;;1.0;t
21130;;Guinea;2.0;t
27079;;Maldives;14.0;t
15559;100%;Barbados;1.0;t
22323;;;1.0;t
42458;97%;Indonesia;14.0;t
27079;;Maldives;14.0;t
27079;;Maldives;14.0;t
27079;;Maldives;14.0;t
38308;;Marshall Islands;2.0;t
35047;;France;1.0;t
17930;100%;Jersey;2.0;t
22997;;Isle of Man;1.0;t
13686;;France;3.0;f
8238;91%;Barbados;15.0;t
1998;;Nicaragua;1.0;t
14340;100%;Isle of Man;5.0;t
22215;;Nicaragua;2.0;f
30668;;Russian Federation;1.0;f
6836;;Chad;1.0;t
6156;100%;Finland;14.0;t
19688;100%;Malawi;2.0;t
38875;100%;Gambia;3.0;f
40551;;Bouvet Island (Bouvetoya);3.0;t
20068;80%;Uzbekistan;5.0;t
29548;;Mexico;1.0;t
42876;;Uzbekistan;1.0;t
13171;;Chile;1.0;t
46165;;Malta;1.0;t
43411;100%;;1.0;t
45406;100%;Malta;1.0;t
36935;;Niue;1.0;t
29856;64%;Niue;2.0;t
14232;67%;;1.0;f
41031;;Niue;2.0;t
27396;;;1.0;f
5746;100%;Russian Federation;2.0;t
26757;100%;Barbados;4.0;f
15376;;Micronesia;1.0;f
5746;100%;Russian Federation;2.0;t
34159;100%;;2.0;f
8823;;Kenya;1.0;t
6156;100%;Finland;14.0;t
380;100%;Kiribati;1.0;f
47107;;Russian Federation;1.0;f
5176;100%;Malawi;2.0;t
30081;;French Guiana;1.0;f
42006;100%;Bahrain;2.0;t
26757;100%;Barbados;4.0;f
23212;;Faroe Islands;1.0;f
15579;100%;Slovakia (Slovak Republic);2.0;f
9943;100%;Tonga;1.0;t
1510;;Chile;1.0;t
9672;;Bosnia and Herzegovina;3.0;t
29083;0%;Chile;1.0;t
37232;100%;Gambia;2.0;t
24999;100%;France;6.0;f
9722;;Ecuador;1.0;t
31743;100%;Isle of Man;1.0;f
47918;88%;;1.0;t
43321;100%;France;40.0;f
29704;;Faroe Islands;2.0;f
40826;;;1.0;t
31161;100%;Isle of Man;2.0;t
35214;;El Salvador;2.0;t
29704;;Faroe Islands;2.0;f
1052;;Montserrat;5.0;f
17371;;;1.0;f
45981;92%;Maldives;11.0;t
37472;100%;Anguilla;1.0;t
14013;100%;Indonesia;2.0;t
7576;;United Kingdom;1.0;t
11414;100%;Ghana;1.0;t
22059;;Uzbekistan;1.0;t
1052;;Montserrat;5.0;f
10983;100%;French Guiana;2.0;t
13507;100%;Gambia;1.0;t
15306;;Barbados;8.0;t
45981;92%;Maldives;11.0;t
960;100%;Netherlands;2.0;t
13730;0%;Libyan Arab Jamahiriya;1.0;t
26757;100%;Barbados;4.0;f
45981;92%;Maldives;11.0;t
45981;92%;Maldives;11.0;t
45981;92%;Maldives;11.0;t
45981;92%;Maldives;11.0;t
45981;92%;Maldives;11.0;t
45981;92%;Maldives;11.0;t
45981;92%;Maldives;11.0;t
45981;92%;Maldives;11.0;t
42045;10%;Niue;4.0;f
30217;;Niger;1.0;t
15306;;Barbados;8.0;t
4955;100%;Bouvet Island (Bouvetoya);1.0;t
20944;100%;United Kingdom;3.0;f
46337;;Chad;2.0;t
20944;100%;United Kingdom;3.0;f
16963;;Vanuatu;3.0;f
3862;;;2.0;t
39684;;Svalbard & Jan Mayen Islands;2.0;f
31696;;Sao Tome and Principe;2.0;f
44573;;Lebanon;1.0;t
34258;;Vietnam;7.0;t
22321;100%;United Kingdom;16.0;f
8702;;Niue;1.0;f
42457;;Zimbabwe;1.0;f
44313;100%;Tunisia;2.0;f
5138;;Rwanda;1.0;t
7855;;United Kingdom;1.0;t
5910;;Croatia;1.0;f
13522;;Indonesia;1.0;f
27186;100%;Zimbabwe;7.0;t
45363;;United Kingdom;2.0;f
42045;10%;Niue;4.0;f
9000;;Papua New Guinea;1.0;t
45830;60%;Montserrat;1.0;f
16439;100%;Nicaragua;1.0;t
6919;100%;Isle of Man;1.0;t
37655;;Niue;1.0;f
23551;;Slovenia;1.0;f
10230;100%;Niue;2.0;t
30768;80%;Maldives;1.0;t
46957;90%;Micronesia;3.0;t
5238;;Isle of Man;1.0;t
11791;100%;;1.0;f
22868;;Sao Tome and Principe;2.0;t
4108;;Chile;2.0;t
25980;100%;Philippines;2.0;t
30832;100%;Micronesia;2.0;t
30832;100%;Micronesia;2.0;t
47635;;Senegal;4.0;t
14562;;Tonga;1.0;f
16904;;Turks and Caicos Islands;1.0;f
46036;;Australia;1.0;t
14953;100%;Bouvet Island (Bouvetoya);4.0;t
18948;;;1.0;t
20209;100%;Russian Federation;1.0;t
4108;;Chile;2.0;t
30144;100%;Marshall Islands;1.0;t
32578;74%;Zimbabwe;2.0;t
3121;95%;Zimbabwe;9.0;t
14953;100%;Bouvet Island (Bouvetoya);4.0;t
16370;50%;Isle of Man;1.0;t
22185;;Lithuania;1.0;f
10539;;Lebanon;1.0;f
11265;100%;Holy See (Vatican City State);1.0;t
23864;100%;Russian Federation;1.0;t
27010;100%;El Salvador;1.0;f
45647;100%;Niger;1.0;t
20192;;;1.0;t
46217;100%;United Kingdom;4.0;f
15137;100%;Marshall Islands;10.0;t
7735;100%;;2.0;t
41741;100%;Brazil;9.0;t
38689;100%;United Kingdom;6.0;t
38689;100%;United Kingdom;6.0;t
4128;50%;Nicaragua;1.0;f
45517;100%;Monaco;1.0;f
7711;100%;Isle of Man;1.0;f
36380;;Chile;2.0;f
49443;100%;Sao Tome and Principe;2.0;t
17057;100%;Rwanda;2.0;t
23731;100%;Holy See (Vatican City State);2.0;t
31717;;Gibraltar;1.0;f
22081;100%;El Salvador;1.0;t
34411;100%;Anguilla;1.0;t
46957;90%;Micronesia;3.0;t
33048;;Montserrat;3.0;f
40747;100%;Wallis and Futuna;1.0;t
39010;;Russian Federation;1.0;t
20917;;Turkmenistan;2.0;t
29766;100%;Indonesia;1.0;t
30421;;El Salvador;1.0;t
2185;;Russian Federation;1.0;f
27612;;Rwanda;1.0;t
36813;;Brazil;1.0;f
23088;100%;El Salvador;1.0;t
34673;100%;Guinea;1.0;t
3723;;Sao Tome and Principe;1.0;f
46797;100%;Zimbabwe;3.0;t
19987;100%;French Polynesia;4.0;f
41648;;Micronesia;1.0;t
14920;;;1.0;t
34153;100%;Congo;1.0;f
30386;;Zimbabwe;1.0;t
44923;100%;Chad;1.0;t
13103;100%;Costa Rica;1.0;f
47378;;Uzbekistan;1.0;f
4992;;Kiribati;5.0;t
248;91%;French Guiana;2.0;f
1330;100%;United Kingdom;1.0;t
37923;;Andorra;1.0;f
21944;;Guernsey;1.0;t
7360;100%;Malta;1.0;t
39065;100%;;1.0;t
33285;100%;Uzbekistan;2.0;t
37177;100%;Canada;1.0;f
25384;100%;Slovakia (Slovak Republic);1.0;f
9279;;;1.0;t
594;100%;Cuba;2.0;f
3664;;Brazil;2.0;t
24608;;Guinea;1.0;f
7383;100%;Lebanon;1.0;t
26152;100%;Anguilla;6.0;t
29352;80%;El Salvador;2.0;f
28388;0%;Suriname;1.0;t
3273;;Holy See (Vatican City State);2.0;t
28137;100%;Slovakia (Slovak Republic);1.0;t
29670;100%;Isle of Man;1.0;f
36033;100%;Russian Federation;4.0;t
32425;;Barbados;2.0;t
46061;100%;Uganda;2.0;t
49914;100%;Niue;1.0;t
41263;100%;Saint Helena;1.0;f
39790;;;1.0;t
15932;100%;Isle of Man;3.0;t
49053;94%;Indonesia;4.0;t
44147;93%;Uzbekistan;2.0;t
40771;60%;Slovakia (Slovak Republic);2.0;t
1362;;Lebanon;1.0;t
11256;100%;Kenya;1.0;f
30429;;Anguilla;1.0;t
12090;100%;;1.0;f
8811;;Montserrat;3.0;t
36659;100%;Anguilla;2.0;t
295;100%;Micronesia;2.0;t
26426;100%;Saint Helena;1.0;t
43434;0%;Mexico;1.0;f
21720;100%;Russian Federation;1.0;f
38859;100%;France;1.0;f
19693;100%;Nauru;1.0;t
9342;;Nicaragua;1.0;f
45045;;;1.0;t
30371;63%;Guinea;1.0;t
34602;;Russian Federation;1.0;t
5370;60%;Kenya;5.0;f
41421;;Gambia;1.0;t
437;;Guinea;2.0;t
46266;;Chad;1.0;t
47012;;Russian Federation;1.0;f
5148;100%;Jersey;1.0;t
9507;25%;Sierra Leone;5.0;t
19561;100%;Isle of Man;1.0;t
26249;;Cuba;2.0;t
38844;100%;Maldives;1.0;t
20334;99%;Niger;171.0;t
38230;100%;Niue;3.0;t
30893;100%;Micronesia;1.0;f
43463;100%;Monaco;1.0;t
31993;100%;Holy See (Vatican City State);1.0;t
13051;;Chad;1.0;t
49707;;Gibraltar;1.0;t
11462;100%;;5.0;t
6232;;Guinea;15.0;t
9874;100%;Montserrat;4.0;t
49567;100%;Saint Helena;4.0;t
49567;100%;Saint Helena;4.0;t
26339;;;1.0;f
11770;;Lebanon;2.0;t
9042;57%;Russian Federation;2.0;f
24949;100%;Russian Federation;1.0;t
31163;;Fiji;2.0;t
16272;;Wallis and Futuna;1.0;t
41907;;El Salvador;3.0;t
41741;100%;Brazil;9.0;t
11076;100%;Malta;1.0;t
43174;100%;Kiribati;1.0;f
43701;0%;Vanuatu;1.0;f
40665;;Niue;1.0;f
13399;;;1.0;t
27023;;Sao Tome and Principe;1.0;t
26776;;Kenya;1.0;t
26666;100%;Gambia;3.0;t
31333;;Zimbabwe;1.0;t
38381;100%;British Indian Ocean Territory (Chagos Archipelago);2.0;f
29461;;Bosnia and Herzegovina;5.0;t
46957;90%;Micronesia;3.0;t
3024;100%;Isle of Man;1.0;t
45176;;Vanuatu;3.0;f
10606;;Ghana;1.0;f
19210;100%;Reunion;1.0;f
5370;60%;Kenya;5.0;f
22438;90%;Guinea;2.0;t
18425;;;1.0;f
10342;100%;Libyan Arab Jamahiriya;2.0;t
8872;100%;Russian Federation;5.0;t
17057;100%;Rwanda;2.0;t
39869;;;1.0;t
18850;;Ecuador;1.0;f
40670;100%;Palestinian Territory;1.0;t
17182;100%;Niue;2.0;t
11997;100%;Mauritania;2.0;t
12617;;Monaco;1.0;f
27858;100%;Niue;1.0;t
15868;;Zimbabwe;1.0;t
13647;100%;;3.0;f
39107;100%;Canada;2.0;f
46351;100%;Jersey;2.0;t
15438;;Slovakia (Slovak Republic);1.0;t
15315;100%;Guernsey;1.0;t
16185;;China;1.0;t
25320;;El Salvador;1.0;f
28978;;Uzbekistan;2.0;t
35141;100%;;4.0;f
31337;100%;Monaco;1.0;f
6474;;;1.0;t
24931;;Malta;1.0;f
6705;100%;;1.0;f
12311;;United Kingdom;1.0;f
29750;;Guinea;2.0;t
33815;;Isle of Man;1.0;t
45146;;Mauritania;2.0;t
19776;100%;Marshall Islands;2.0;t
38208;;;2.0;t
29482;100%;Ghana;1.0;t
28715;100%;;1.0;t
6115;;Estonia;1.0;f
37164;100%;Indonesia;2.0;t
18268;0%;Sao Tome and Principe;1.0;t
23366;100%;;3.0;t
20440;;Kenya;2.0;t
36042;;Gambia;1.0;t
29263;100%;Sao Tome and Principe;1.0;f
31520;;Sao Tome and Principe;1.0;f
45511;100%;Gambia;3.0;f
8872;100%;Russian Federation;5.0;t
43628;100%;Jersey;1.0;t
41822;60%;;1.0;t
7777;;Pakistan;2.0;f
48200;57%;French Guiana;1.0;t
34077;;;2.0;f
33562;100%;Uzbekistan;1.0;t
42712;;Vanuatu;1.0;f
42680;100%;Isle of Man;1.0;t
16304;100%;Guernsey;1.0;f
28876;100%;Uzbekistan;1.0;t
16798;100%;Saint Helena;2.0;t
13563;67%;Guinea;1.0;t
42629;100%;Malawi;1.0;t
41551;100%;Malta;2.0;f
30928;25%;Bosnia and Herzegovina;1.0;t
7561;100%;Venezuela;6.0;t
14045;100%;Tonga;2.0;t
31420;100%;Maldives;2.0;t
19253;;Sao Tome and Principe;4.0;t
27965;100%;Faroe Islands;3.0;f
2271;100%;Zimbabwe;3.0;t
15579;100%;Slovakia (Slovak Republic);2.0;f
34204;100%;Uzbekistan;1.0;f
8293;100%;Afghanistan;4.0;t
33820;;;1.0;t
27074;;Russian Federation;1.0;t
11262;;Lebanon;1.0;t
29028;100%;Chad;2.0;t
39168;83%;Tonga;6.0;f
18207;100%;;1.0;t
43245;100%;Cocos (Keeling) Islands;1.0;t
18250;;Russian Federation;1.0;t
25433;100%;Micronesia;1.0;t
26387;100%;Isle of Man;6.0;t
27740;100%;United Kingdom;6.0;t
13692;100%;Uganda;1.0;f
10640;;Chad;1.0;t
5968;100%;Uganda;1.0;t
26656;;Zimbabwe;1.0;t
25385;;Korea;1.0;t
6151;0%;Gambia;1.0;t
46515;100%;;1.0;f
7165;100%;Brazil;5.0;t
15489;100%;Nicaragua;2.0;t
2590;100%;;1.0;t
3866;100%;Indonesia;8.0;t
19451;80%;Montserrat;2.0;t
25434;100%;;2.0;t
40997;;Maldives;1.0;t
42953;100%;Korea;2.0;t
34649;100%;Marshall Islands;1.0;t
26757;100%;Barbados;4.0;f
16475;;;2.0;t
26493;;Guinea;1.0;f
33146;;Denmark;1.0;f
28868;100%;Monaco;2.0;f
18408;100%;Montserrat;1.0;t
29556;100%;Malta;1.0;t
1181;50%;;1.0;t
8217;;;1.0;t
12342;;Tanzania;1.0;t
11833;90%;Afghanistan;2.0;f
4731;75%;Kenya;2.0;t
15513;;Turkmenistan;1.0;t
49349;100%;;1.0;f
2603;96%;Uzbekistan;7.0;f
44732;;San Marino;1.0;f
22786;;Kenya;2.0;f
40683;100%;United Kingdom;2.0;t
38925;;Jersey;1.0;f
